Path,Directory,File,Category,Function,Namespace,Types,FieldCount,MethodCount,Fields,Methods,EnumValues,Size
AddExtraAnimalFamilyEventArgs.cs,(root),AddExtraAnimalFamilyEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AddExtraAnimalFamilyEventArgs,3,2,EventId:int; Id:int; AnimalFamily:AnimalFamily,Clear():void; Create():AddExtraAnimalFamilyEventArgs,,412
AddExtraMoneyEventArgs.cs,(root),AddExtraMoneyEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AddExtraMoneyEventArgs,7,2,EventId:int; Id:int; Animal:Animal; Source:Animal; SourceItem:Item; SourceCell:MapCell; Money:BigInteger,Clear():void; Create():AddExtraMoneyEventArgs,,693
AddFossilEventArgs.cs,(root),AddFossilEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AddFossilEventArgs,5,2,EventId:int; Id:int; Animal:Animal; Fossil:BigInteger; IsTrigger:bool,Clear():void; Create():AddFossilEventArgs,,526
AddItemEventArgs.cs,(root),AddItemEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AddItemEventArgs,5,2,EventId:int; Id:int; Item:Item; Source:object; IsStack:bool,Clear():void; Create():AddItemEventArgs,,501
AddShopGoldEventArgs.cs,(root),AddShopGoldEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AddShopGoldEventArgs,5,2,EventId:int; Id:int; Target:object; Source:object; Gold:BigInteger,Clear():void; Create():AddShopGoldEventArgs,,524
AddStuffEventArgs.cs,(root),AddStuffEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AddStuffEventArgs,3,2,EventId:int; Id:int; Stuff:Stuff,Clear():void; Create():AddStuffEventArgs,,360
AddTalentEventArgs.cs,(root),AddTalentEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AddTalentEventArgs,3,2,EventId:int; Id:int; Talent:Talent,Clear():void; Create():AddTalentEventArgs,,366
AdventureGameMode.cs,(root),AdventureGameMode.cs,配置数据,枚举或类型标识定义,Shepherd,class AdventureGameMode; struct _003CCreateBoss_003Ed__58; struct _003COnAfterNextDay_003Ed__33; struct _003COnAfterShopping_003Ed__30; struct _003COnBossDefeated_003Ed__53; struct _003COnInternalBossShow_003Ed__60; struct _003COnInternalFirstDayStart_003Ed__29; struct _003COnLoadSave_003Ed__26; struct _003COnNextDay_003Ed__31; struct _003COnSelectAnimal_003Ed__38,62,55,_003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:AdventureGameMode; _003CemptyCoords_003E5__2:MapCoords; _003CbossData_003E5__3:BossData; _003C_003Eu__1:UniTask.Awaiter; _003C_003Eu__2:UniTask<Boss>.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:AdventureGameMode; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:AdventureGameMode; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:AdventureGameMode; hasFossilReward:bool; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:AdventureGameMode; bossData:BossData; bossPos:Vector3; _003CbossSO_003E5__2:BossSO; _003Cform_003E5__3:BossShowForm; _003C_003Eu__1:UniTask<UGuiForm>.Awaiter; _003C_003Eu__2:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncVoidMethodBuilder; _003C_003E4__this:AdventureGameMode; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:AdventureGameMode; _003C_003Eu__1:UniTask.Awaiter; _003C_003E7__wrap1:List<BossLogicData>.Enumerator; _003CbossData_003E5__3:BossLogicData; _003C_003Eu__2:UniTask<Boss>.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:AdventureGameMode; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:AdventureGameMode; animalBp:AnimalBlueprint; _003C_003Eu__1:UniTask.Awaiter; curBossEntityId:int; bossList:List<BossData>; bossLogicDatas:List<BossLogicData>; moneyTargets:HashSet<IMoneyTarget>; selectAwardCount:int; maxAwardCount:int; ModeType:GameModeType; Data:AdventureModeSO; BossList:IReadOnlyList<BossData>; CurBoss:Boss; DefaultMoneyTarget:IMoneyTarget; TotalMoney:BigInteger; CurBossMoney:BigInteger,MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; Initialize():void; Destroy():void; OnLoadSave():UniTask; OnSave():void; OnFirstDayStart():void; OnInternalFirstDayStart():void; OnAfterShopping():UniTask; OnNextDay():UniTask; SkipCurStage():void; OnAfterNextDay():UniTask; GetMoneyTarget():IMoneyTarget; AddMoneyTarget():void; RemoveMoneyTarget():void; AddTotalMoney():void; OnSelectAnimal():UniTask; OnSelectItem():void; OnIgnoreAnimal():void; OnIgnoreItem():void; GetHeroes():void; StartNewStage():void; GetSelectToys():void; OpenAnimalAward():void; OpenItemAward():void; OpenToyAward():void; OpenHeroAward():void; OnSelectToy():void; GetCurBossData():BossData; OnStageLastDay():void; OnAfterFossilReward():void; OnBossDefeated():UniTask; OnSelectHero():void; OnIgnoreHero():void; OnFinishAward():void; InitBossList():void; CreateBoss():UniTask; UpdateMoneyTargetUI():void; OnInternalBossShow():UniTask,,12574
AdventureModeSO.cs,(root),AdventureModeSO.cs,配置数据,ScriptableObject 配置结构或资源数据定义,Shepherd,class AdventureModeSO,5,0,stageBosses:List<StageBossData>; stageToys:List<StageToyData>; stageAnimalPacks:List<StagePackData>; stageItemPacks:List<StagePackData>; ignoreHeros:List<HeroType>,,,452
AfterAnimalSelectEventArgs.cs,(root),AfterAnimalSelectEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AfterAnimalSelectEventArgs,4,2,EventId:int; Id:int; Animal:Animal; IsOpeningPack:bool,Clear():void; Create():AfterAnimalSelectEventArgs,,455
AfterGameInitEventArgs.cs,(root),AfterGameInitEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AfterGameInitEventArgs,2,2,EventId:int; Id:int,Clear():void; Create():AfterGameInitEventArgs,,313
AfterGetSelectAnimalEventArgs.cs,(root),AfterGetSelectAnimalEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AfterGetSelectAnimalEventArgs,3,2,EventId:int; Id:int; Animals:List<AnimalBlueprint>,Clear():void; Create():AfterGetSelectAnimalEventArgs,,455
AfterItemSelectEventArgs.cs,(root),AfterItemSelectEventArgs.cs,界面/UI,GameFramework 事件参数/事件数据载体,Shepherd,class AfterItemSelectEventArgs,3,2,EventId:int; Id:int; Item:Item,Clear():void; Create():AfterItemSelectEventArgs,,393
AfterNextDayEventArgs.cs,(root),AfterNextDayEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AfterNextDayEventArgs,2,2,EventId:int; Id:int,Clear():void; Create():AfterNextDayEventArgs,,311
AfterRemoveAnimalEventArgs.cs,(root),AfterRemoveAnimalEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AfterRemoveAnimalEventArgs,3,2,EventId:int; Id:int; Animal:Animal,Clear():void; Create():AfterRemoveAnimalEventArgs,,382
AfterShoppingEventArgs.cs,(root),AfterShoppingEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class AfterShoppingEventArgs,2,2,EventId:int; Id:int,Clear():void; Create():AfterShoppingEventArgs,,313
AfterStageStartEventArgs.cs,(root),AfterStageStartEventArgs.cs,配置数据,GameFramework 事件参数/事件数据载体,Shepherd,class AfterStageStartEventArgs,2,2,EventId:int; Id:int,Clear():void; Create():AfterStageStartEventArgs,,317
AnalyticsSave.cs,(root),AnalyticsSave.cs,存档/记录,游戏业务类，具体职责见字段和方法名,Shepherd,class AnalyticsSave,3,0,SelectionEvents:List<AnimalItemSelectionRequest>; AccumulatedGameDuration:float; HasRecordedGameStart:bool,,,306
Animal.cs,(root),Animal.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,class Animal; struct _003CActiveBaseMoney_003Ed__118; struct _003CAttack_003Ed__159; struct _003CAttack_003Ed__160; struct _003CAttack_003Ed__161; struct _003CBreed_003Ed__168; struct _003CDead_003Ed__165; struct _003CDiveDown_003Ed__175; struct _003CDiveFly_003Ed__174; struct _003CDiveJump_003Ed__172; struct _003CEnterToGrid_003Ed__152; struct _003CFeed_003Ed__171; struct _003CGrowUp_003Ed__163; struct _003CInternalFly_003Ed__191; struct _003CInternalRemove_003Ed__190; struct _003CJump_003Ed__158; struct _003CJumpTo_003Ed__154; struct _003CKnockout_003Ed__177; struct _003CMoveTo_003Ed__153; struct _003COnBorn_003Ed__169; struct _003COnDayBefore_003Ed__114; struct _003COnDayEnd_003Ed__120; struct _003COnDayEndInHouse_003Ed__121; struct _003COnDayLateUpdate_003Ed__117; struct _003COnDayStart_003Ed__115; struct _003COnDayUpdate_003Ed__116; struct _003COnEaten_003Ed__189; struct _003COnMoved_003Ed__166; struct _003COnUpdateInHouse_003Ed__119; struct _003CPrey_003Ed__155; struct _003CPrey_003Ed__156; struct _003CProtect_003Ed__157; struct _003CShapeshifting_003Ed__164; struct _003CThrow_003Ed__170; struct _003CTryRemoved_003Ed__162; struct _003CTrySell_003Ed__151,272,164,_003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; playSound:bool; position:Vector3; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; target:Animal; playSound:bool; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; target:Stuff; playSound:bool; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder<Animal>; _003C_003E4__this:Animal; cubType:AnimalType; playAnim:bool; coords:MapCoords; _003Canimal_003E5__2:Animal; _003C_003Eu__1:UniTask.Awaiter; _003C_003Eu__2:UniTask<Animal>.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; gridPos:Vector2Int; _003Cposition_003E5__2:Vector3; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; activeBaseMoney:bool; sourcePos:Vector2Int; targetWorldPos:Vector3; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; activeBaseMoney:bool; gridPos:Vector2Int; onlyRise:bool; _003Cposition_003E5__2:Vector3; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; position:Vector3; speed:float; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder<bool>; _003C_003E4__this:Animal; target:Animal; feeder:object; playAnim:bool; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder<Animal>; _003C_003E4__this:Animal; animalType:AnimalType; _003CaddBaseMoney_003E5__2:BigInteger; _003C_003Eu__1:UniTask.Awaiter; _003C_003Eu__2:UniTask<Animal>.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:Animal; startPos:Vector3,MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; OnDisable():void; OnShow():void; OnHide():void; AddExtraType():void; AddExtraFamily():void; GetAnimalType():AnimalType; IsType():bool; IsFamily():bool; IsSameType():bool; OnDayBefore():UniTask; OnDayStart():UniTask; OnDayUpdate():UniTask; OnDayLateUpdate():UniTask; ActiveBaseMoney():UniTask; OnUpdateInHouse():UniTask; OnDayEnd():UniTask; OnDayEndInHouse():UniTask; AddTag():void; RemoveTag():void; RemoveTag():void; HasTag():bool; AddSelfTag():void; RemoveSelfTag():void; SetInHouse():void; SetInFly():void; SetAttached():void; AddBaseMoney():void; SetBaseMoney():void; SetVisible():void; SetPaperActive():void,,46057
AnimalActor.cs,(root),AnimalActor.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,class AnimalActor,4,12,animalType:AnimalType; Type:ActorType; EntityType:ActorEntityType; IsVirtual:bool,GetAnimal():Animal; IsType():bool; IsFamily():bool; IsState():bool; ActiveBaseMoney():UniTask; OnUpdateInHouse():UniTask; OnDayEndInHouse():UniTask; SetInHouse():void; SetInFly():void; MoveTo():UniTask; EnterToGrid():UniTask; UpdatePosition():UniTask,,1312
AnimalAnimAction.cs,(root),AnimalAnimAction.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,enum AnimalAnimAction,0,0,,,AnimalAnimAction=Move = 0|Attack = 1|Jump = 2|DiveJump = 3|DiveRise = 4|DiveDown = 5|Fly = 6|FlyHover = 7|Knockout = 8,202
AnimalBlueprint.cs,(root),AnimalBlueprint.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,class AnimalBlueprint,5,4,baseMoney:int; type:AnimalType; BaseMoney:int; Type:AnimalType; Data:AnimalSO,Initialize():void; Clear():void; Create():AnimalBlueprint; Release():void,,647
AnimalCard.cs,(root),AnimalCard.cs,核心玩法/实体/地图,UI 子组件/显示控件,Shepherd,class AnimalCard,11,6,enableHideData:bool; iconBox:RarityIconBox; nameText:TextMeshProUGUI; moneyText:TextMeshProUGUI; abilityText:TextMeshProUGUI; rarityPointer:RectTip; animalFamilyIcons:List<AnimalFamilyIcon>; bookTip:GameObject; OnHided:UnityEvent<bool>; Data:AnimalSO; Animal:Animal,OnLanguageChange():void; SetData():void; SetData():void; ShowTip():void; HideTip():void; UpdateAnimalFamily():void,,947
AnimalClickGuide.cs,(root),AnimalClickGuide.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,class AnimalClickGuide,1,0,animal:Animal,,,506
AnimalFamily.cs,(root),AnimalFamily.cs,核心玩法/实体/地图,枚举或类型标识定义,Shepherd,enum AnimalFamily,0,0,,,AnimalFamily=None = 0|Common = 1|Ungulata = 2|Bird = 4|Carnivora = 8|Pika = 0x10|Reptile = 0x20|Marine = 0x40|Insect = 0x80|Dinosaur = 0x100|Winter = 0x200,274
AnimalFamilyExtensions.cs,(root),AnimalFamilyExtensions.cs,核心玩法/实体/地图,工具函数/扩展方法集合,Shepherd,class AnimalFamilyExtensions,1,2,AnimalFamilyExtensions:class,HasAny():bool; HasAny():bool,,355
AnimalFamilyIcon.cs,(root),AnimalFamilyIcon.cs,核心玩法/实体/地图,UI 子组件/显示控件,Shepherd,class AnimalFamilyIcon,3,1,icon:Image; tip:RectTip; Data:AnimalFamilySO,SetData():void,,259
AnimalFamilyItemUI.cs,(root),AnimalFamilyItemUI.cs,核心玩法/实体/地图,UI 子组件/显示控件,Shepherd,class AnimalFamilyItemUI,8,4,icon:Image; familyName:TextMeshProUGUI; familyDesc:TextMeshProUGUI; tip:RectTip; button:Button; imageSwitcher:UIImageSwitcher; OnDataChanged:UnityEvent<AnimalFamilySO>; Data:AnimalFamilySO,SetData():void; SetValid():void; OnClickDisabled():void; OnDataChange():void,,643
AnimalFamilySelectInGameParams.cs,(root),AnimalFamilySelectInGameParams.cs,核心玩法/实体/地图,能力触发、效果或参数定义,Shepherd,struct AnimalFamilySelectInGameParams,2,0,animalFamilies:List<AnimalFamilySO>; SelectCallback:Action<AnimalFamilySO>,,,231
AnimalFamilySO.cs,(root),AnimalFamilySO.cs,核心玩法/实体/地图,ScriptableObject 配置结构或资源数据定义,Shepherd,class AnimalFamilySO,15,0,familyName:string; family:AnimalFamily; icon:Sprite; notInSelectionPool:bool; hideInBook:bool; locked:bool; unlockEvent:CareerEventSO; inDlc:bool; dlc:DlcSO; disable:bool; IsAvailable:bool; IsLocked:bool; IsDiscovered:bool; IsViewed:bool; LocalFamilyName:string,,,957
AnimalFamilyTalentIcon.cs,(root),AnimalFamilyTalentIcon.cs,核心玩法/实体/地图,UI 子组件/显示控件,Shepherd,class AnimalFamilyTalentIcon,6,2,icon:Image; levelText:TextMeshProUGUI; tip:RectTip; disableColor:Color; Data:AnimalFamilySO; Talent:Talent,SetData():void; SetTalent():void,,470
AnimalHelper.cs,(root),AnimalHelper.cs,核心玩法/实体/地图,工具函数/扩展方法集合,Shepherd,class AnimalHelper,0,14,,Init():void; Clear():void; UpdateAnimalAbility():void; UpdateRarityProp():void; IsAvailableRefresh():bool; IsAvailableAdd():bool; GetWeight():float; GetWeight():float; GetOrgRarityProb():float; GetRarityProb():float; GetViewRarityProb():float; GetAnimalInstance():AnimalSO; GetAnimalAbility():AbilitySO; GetAnimalAbility():AbilitySO,,1593
AnimalIcon.cs,(root),AnimalIcon.cs,核心玩法/实体/地图,UI 子组件/显示控件,Shepherd,class AnimalIcon,9,6,iconBox:RarityIconBox; removeText:TextMeshProUGUI; removeGoldText:TextMeshProUGUI; removeObj:GameObject; tip:RectTip; OnDataChanged:UnityEvent<AnimalSO>; OnSelect:UnityEvent<AnimalIcon>; Animal:Animal; Data:AnimalSO,SetData():void; SetData():void; OnDataChange():void; Clear():void; OnClick():void; SetRemoveActive():void,,769
AnimalInfo.cs,(root),AnimalInfo.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,class AnimalInfo,4,3,animalCard:AnimalCard; OnSelect:UnityEvent<AnimalBlueprint>; AnimalBp:AnimalBlueprint; Animal:Animal,SetData():void; SetData():void; OnClick():void,,511
AnimalInventoryForm.cs,(root),AnimalInventoryForm.cs,核心玩法/实体/地图,UGUI 窗口/界面逻辑,Shepherd,class AnimalInventoryForm; enum SortType; enum FieldStateType,14,19,animalPanel:LoopGridView; animalInfo:AnimalCard; sortText:TextMeshProUGUI; reverseSwitcher:UIImageSwitcher; animalCountText:TextMeshProUGUI; animalFamilySelector:UISelector; stateDropdown:TMP_Dropdown; gameMode:GameMode; animals:List<Animal>; selectedAnimalIcon:AnimalIcon; sortType:SortType; isReverse:bool; fieldState:FieldStateType; curAnimalFamily:AnimalFamily,OnInit():void; OnOpen():void; OnClose():void; OnResume():void; Close():void; OnLanguageChange():void; OnCloseInventory():void; OnSelectAnimal():void; OnPointerClick():void; OnSortTypeButtonClick():void; OnReverseButtonClick():void; OnSelectAnimalFamilyTag():void; OnFieldStateChanged():void; InitAnimalFamily():void; ShowAnimals():void; OnGetAnimalByRowColumn():LoopGridViewItem; SelectFirstObject():void; SelectNextObject():void; InitStateDropdown():void,SortType=Rarity = 0|Contribute = 1; FieldStateType=All = 0|OnField = 1|NotOnField = 2,2118
AnimalLogicData.cs,(root),AnimalLogicData.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,struct AnimalLogicData,12,0,id:int; actorId:int; animalFamily:AnimalFamily; animalType:AnimalType; state:AnimalState; tags:List<AnimalTag>; coords:MapCoords; baseMoney:BigInteger; createDay:int; extraTypes:List<AnimalType>; abilityComp:AnimalAbilityComp; gotMoney:BigInteger,,,544
AnimalMergeEventArgs.cs,(root),AnimalMergeEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AnimalMergeEventArgs,3,2,EventId:int; Id:int; Animal:Animal,Clear():void; Create():AnimalMergeEventArgs,,370
AnimalMoveEventArgs.cs,(root),AnimalMoveEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AnimalMoveEventArgs,5,2,EventId:int; Id:int; Animal:Animal; StartCoords:MapCoords; EndCoords:MapCoords,Clear():void; Create():AnimalMoveEventArgs,,522
AnimalMoveStartEventArgs.cs,(root),AnimalMoveStartEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class AnimalMoveStartEventArgs,5,2,EventId:int; Id:int; Animal:Animal; StartCoords:MapCoords; EndCoords:MapCoords,Clear():void; Create():AnimalMoveStartEventArgs,,532
